Database import

  Current data status:
    Birds: 0
    Bands: 7
    Band Combos: 2

  Import data status:
    TODO: checking import data

Beginning import...
  Importing birds
2C-1: Waimakariri, Male, 01/01/11 00:00:00, Alive
Aeneas: Kahurangi, Male, 01/01/14 00:00:00, Alive
Agnes: Waimakariri, Female, 01/01/10 00:00:00, Alive
Aguti: Fiordland, Male, 01/01/08 00:00:00, Alive
Ajax: Rotoiti, Male, 01/01/07 00:00:00, Alive
Alex: Kahurangi, Undetermined, 01/11/15 00:00:00, Alive
Alf: Waimakariri, Male, 01/01/11 00:00:00, Alive
Alison: Waimakariri, Female, 01/01/09 00:00:00, Dead
Allsorts: Rotoiti, Male, 01/01/08 00:00:00, Alive
Alwyn: Waimakariri, Female, 01/01/14 00:00:00, Alive
Amelia: Waimakariri, Female, 01/01/11 00:00:00, Alive
Amy: Aoraki, Female, , Alive
Ana: Westland, Female, 01/01/09 00:00:00, Alive
Andrea: Rotoiti, Female, 01/01/92 00:00:00, Alive
Andrew: Waimakariri, Male, 01/01/15 00:00:00, Alive
Andy: Fiordland, Male, 01/01/05 00:00:00, Alive
Angus: Kahurangi, Male, 01/01/10 00:00:00, Missing
Anika: Kahurangi, Female, 01/01/12 00:00:00, Alive
Anna: Waimakariri, Female, 01/01/09 00:00:00, Alive
Anthea: Waimakariri, Female, 01/01/09 00:00:00, Alive
Anuradha: Fiordland, Male, 01/01/05 00:00:00, Alive
Aotea: Westland, Female, 01/01/07 00:00:00, Alive
Aphrodite: Rotoiti, Female, 01/01/07 00:00:00, Alive
Apollo: Rotoiti, Male, 01/01/15 00:00:00, Alive
Appenzeller: Wakatipu, Male, 01/01/11 00:00:00, Alive
April Dawn: Kahurangi, Female, 01/01/07 00:00:00, Alive
Apsley: Kahurangi, Male, 01/01/06 00:00:00, Alive
Archie: Kahurangi, Male, 01/01/10 00:00:00, Alive
Arnie: Rotoiti, Male, 01/01/05 00:00:00, Alive
Arno: Westland, Male, 01/01/08 00:00:00, Missing
Aroha: Waimakariri, Female, 01/01/10 00:00:00, Alive
Arthur: Waimakariri, Male, 01/01/15 00:00:00, Alive
Arya: Westland, Female, 27/11/12 00:00:00, Alive
Asha: Westland, Female, 06/12/12 00:00:00, Alive
Asparagus: Rotoiti, Male, 01/01/98 00:00:00, Alive
Asterix: Abel Tasman, Male, 01/01/10 00:00:00, Dead
Atlas: Rotoiti, Female, 01/01/92 00:00:00, Alive
Audrey: Rotoiti, Undetermined, 01/01/94 00:00:00, Alive
Auguste: Fiordland, Male, , Alive
Auroch: Fiordland, Male, 01/01/12 00:00:00, Alive
Axel: Westland, Male, 01/01/06 00:00:00, Alive
Ayla: Westland, Female, 01/01/08 00:00:00, Alive
Baggins: Westland, Male, 01/01/05 00:00:00, Alive
Baileys: Aoraki, Undetermined, , Alive
Baldwin: Waimakariri, Female, 01/01/05 00:00:00, Alive
Bambam: Westland, Female, 01/12/10 00:00:00, Alive
Bandit: Waimakariri, Male, 01/01/09 00:00:00, Alive
Bangles: Kahurangi, Male, 01/01/05 00:00:00, Alive
Baracus: Wakatipu, Male, 01/01/07 00:00:00, Alive
Barbie: Aoraki, Undetermined, , Alive
Barrie: Waimakariri, Male, 01/01/06 00:00:00, Alive
Barry: Waimakariri, Male, 01/01/10 00:00:00, Alive
Bateman: Kahurangi, Male, 01/01/13 00:00:00, Alive
Baz: Westland, Male, 01/01/13 00:00:00, Alive
Beast: Kahurangi, Male, 01/01/10 00:00:00, Alive
Beau: Wanaka, Male, 01/01/09 00:00:00, Alive
Becky: Waimakariri, Female, 01/01/09 00:00:00, Alive
Beech: Waimakariri, Male, 01/01/15 00:00:00, Alive
Bekz: Waimakariri, Female, 01/01/12 00:00:00, Alive
Bell: Rotoiti, Female, 03/01/98 00:00:00, Dead
Bella: Kahurangi, Female, 01/01/11 00:00:00, Alive
Bella Vista: Westland, Male, 01/01/07 00:00:00, Alive
Belvedere Statesman: Kahurangi, Male, 01/01/08 00:00:00, Alive
Bender: Rotoiti, Male, 01/01/93 00:00:00, Alive
Benji: Waimakariri, Male, 01/01/13 00:00:00, Alive
Bennett: Westland, Male, 01/01/08 00:00:00, Alive
Bern: Wakatipu, Female, 01/01/11 00:00:00, Alive
Bernard: Westland, Male, 01/01/08 00:00:00, Alive
Beryl: Waimakariri, Female, 01/01/09 00:00:00, Alive
Besse: Fiordland, Male, 01/01/07 00:00:00, Alive
Bestie: Kahurangi, Male, 01/01/05 00:00:00, Alive
BevanTheBiter: Rotoiti, Undetermined, 28/12/14 00:00:00, Alive
Bill: Aoraki, Male, , Alive
Billy: Rotoiti, Male, 01/01/94 00:00:00, Alive
Bilong: Rotoiti, Female, 01/01/92 00:00:00, Alive
Bimo: Aoraki, Male, , Alive
Bioman: Fiordland, Male, 01/01/08 00:00:00, Unknown
Birds Clearing 1: Golden Bay, Female, , Alive
Biter: Rotoiti, Male, 01/01/88 00:00:00, Alive
Blex: Westland, Male, 18/11/09 00:00:00, Alive
Blondie: Fiordland, Female, 01/01/07 00:00:00, Alive
Blu: Waimakariri, Male, 01/01/11 00:00:00, Alive
Blue J: Wanaka, Male, 01/01/09 00:00:00, Alive
Blue Moon: Waimakariri, Male, 01/05/11 00:00:00, Dead
Bluff: Westland, Female, 01/01/06 00:00:00, Alive
Bob: Rotoiti, Male, 01/01/89 00:00:00, Alive
Bobbit: Waimakariri, Male, 01/01/13 00:00:00, Alive
Bobby: Aoraki, Male, , Alive
Bobs Chick 3: Rotoiti, Undetermined, 01/01/98 00:00:00, Dead
Bobs Chick 4: Rotoiti, Undetermined, 01/01/98 00:00:00, Dead
Boo Boo: Westland, Female, 05/11/12 00:00:00, Alive
Bosco: Waimakariri, Male, 01/01/08 00:00:00, Alive
Bowers: Kahurangi, Male, 01/01/06 00:00:00, Alive
Fraser: Westland, Male, 01/01/09 00:00:00, Alive
Freddie: Waimakariri, Male, 01/01/06 00:00:00, Alive
Frenchy: Fiordland, Male, 01/01/06 00:00:00, Alive
Freya: Waimakariri, Female, 01/01/12 00:00:00, Alive
Friday13: Westland, Female, 01/01/10 00:00:00, Alive
Friends: Westland, Female, 01/01/11 00:00:00, Alive
Frodo: Westland, Male, 25/01/09 00:00:00, Missing
Frosty: Rotoiti, Female, 01/01/95 00:00:00, Alive
Gabba: Waimakariri, Male, 01/01/08 00:00:00, Alive
Gandalf: Rotoiti, Male, 01/01/92 00:00:00, Alive
Janis Joplin: Kahurangi, Female, 01/01/06 00:00:00, Dead
Tyndall: Waimakariri, Male, 01/01/09 00:00:00, Alive
Tyrion: Westland, Male, 08/11/12 00:00:00, Alive
Ueli: Fiordland, Male, 01/01/06 00:00:00, Alive
Uli: Westland, Female, 01/01/08 00:00:00, Dead
Umpa: Kaikoura, Undetermined, , Alive
Yang: Waimakariri, Male, 31/01/11 00:00:00, Dead
Yellow Kelly: Fiordland, Female, 01/01/09 00:00:00, Alive
Yeti: Waimakariri, Undetermined, 01/01/14 00:00:00, Alive
Yin: Waimakariri, Female, 31/01/11 00:00:00, Alive
Yoda: Westland, Male, 01/01/06 00:00:00, Alive
